district_id,iso3,district_name,admin_level,year,n_events_sb,n_events_ns,n_events_os,n_events_total,deaths_best_sb,deaths_best_ns,deaths_best_os,deaths_best_total,deaths_low_sb,deaths_low_ns,deaths_low_os,deaths_low_total,deaths_high_sb,deaths_high_ns,deaths_high_os,deaths_high_total,deaths_civilians_sb,deaths_civilians_ns,deaths_civilians_os,deaths_civilians_total,coups_total,coups_successful,coups_failed,acled_events_total,acled_events_battles,acled_events_protests,acled_events_riots,acled_events_vac,acled_events_explosions,acled_events_strategic,acled_fatalities,wb_unemployment,wb_unemployment_youth,wb_gdp_pc,wb_gdp_growth,wb_inflation,wb_population,wb_pop_growth,wb_pop_0_14,wb_urban_pct,wb_ag_valueadd_pct,wb_ag_employment_pct,wb_ag_land_pct,wb_cereal_yield,wb_food_prod_index,wb_arable_land_pct,precip_mm,yield_maize,yield_rice,yield_wheat,yield_soybean,income_group,income_group_carried,cropland_ha,price_shock_coverage,price_shock,continent,region,colonizer,coldat_colonizer_last,col_ever_colonized,coldat_n_colonizers,col_start_year,col_end_year,col_duration_years,independence_year,legal_origin,legal_origin_filled,legal_origin_imputed,civil_vs_common,col_british,col_french,col_iberian,years_since_independence,grd_tax_pct_gdp,grd_nonresource_tax_pct_gdp,grd_totrev_pct_gdp,grd_resource_rev_pct_gdp,grd_gov_level,grd_quality_flag,vdem_polyarchy,vdem_libdem,vdem_rule_of_law,vdem_corruption,vdem_regime,vdem_terr_control,polity2,anocracy_flag,pts_amnesty,pts_state,pts_hrw,pts_score,pts_source,refugees_origin,asylum_seekers_origin,idp_stock_unhcr,returned_refugees,returned_idps,idp_stock_conflict,new_disp_conflict,idp_stock_disaster,new_disp_disaster,temp_mean,temp_anomaly,n_groups_overlap,share_area_excluded,ethnic_fractionalization,any_excluded,ipc_phase_max,ipc_phase_modal,ipc_n_reports,ipc_phase3plus_area_share,ipc_crisis_flag,fews_covered,travel_time_to_city_min_median,travel_time_to_city_min_mean,travel_time_to_city_log1p,market_access_snapshot_year,has_oil_gas,n_oil_gas_fields,has_oil,has_gas,oil_gas_first_discovery_year,has_diamond,n_diamond_deposits,n_diamond_secondary,n_diamond_primary,has_lootable_diamond,n_mineral_deposits,fao_cereal_prod_t,fao_fruit_prod_t,fao_meat_total_prod_t,fao_milk_total_prod_t,fao_pulses_prod_t,fao_roots_tubers_prod_t,fao_vegetables_prod_t,fao_cereal_area_ha,fao_cereal_yield_kgha,fao_beans_prod_t,fao_cassava_prod_t,fao_groundnuts_prod_t,fao_maize_prod_t,fao_millet_prod_t,fao_rice_prod_t,fao_sorghum_prod_t,fao_wheat_prod_t,fao_beans_yield_kgha,fao_cassava_yield_kgha,fao_groundnuts_yield_kgha,fao_maize_yield_kgha,fao_millet_yield_kgha,fao_rice_yield_kgha,fao_sorghum_yield_kgha,fao_wheat_yield_kgha,faw_n_trap_checks,faw_confirmed_sum,faw_suspconf_sum,faw_present,faw_catch_rate,faw_first_detection_year,years_since_faw_arrival,faw_arrived,dl_swarm_obs,dl_band_obs,dl_gregarious_obs,dl_area_treated_ha,dl_present_flag,dl_first_gregarious_year
59680162B10831398447622,NGA,Wamakko,ADM2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4.134,8.457,2585.734,2.653,9.009,190671878,2.536,44.321,55.733,20.632,40.074,73.925,1527.1,97.74,39.633,611.522,0.284,1.157,,,LM,False,12070.5,0.307,-0.0,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,55,,,,3.466,general,0,0.554,0.401,0.28,0.909,2,83.25,7,0,5,4,3,4,S,167973,51353,2172532,0,0,2096000,737000,,100000,29.193,0.331,1,0.0,0.0,0,,,,,,,29.722,31.481,3.425,2015,0,0,0,0,,0,0,0,0,0,0,26069496.24,11829227.15,1423916.73,513116.43,2371231.71,109883348.17,16409120.56,17070713,1527.1,,57405060.0,3467446.0,9540190.0,1807810.0,7573400.0,7005025.0,60000.0,,7265.9,1237.6,1718.8,1037.3,2074.2,1187.5,1000.0,,,,,,,,,,,,,,
59680162B10831398447622,NGA,Wamakko,ADM2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,2,1,0,6,5.714,10.842,2228.686,-6.369,13.246,213996181,2.13,42.826,59.766,28.345,38.825,75.419,1619.9,112.64,40.484,925.185,,,,,LM,False,12070.5,0.307,0.036,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,60,,,6.513,2.393,general,0,0.512,0.349,0.255,0.927,2,75.455,,,4,4,3,4,S,352960,73233,2610278,12335,0,2730000,169000,143000,279000,29.302,0.602,1,0.0,0.0,0,3,3,1,1.0,1,1,29.722,31.481,3.425,2015,0,0,0,0,,0,0,0,0,0,0,29211452.39,14412054.09,1591763.08,519811.34,4200924.41,125089054.02,15725045.61,18032487,1619.9,,55565610.0,4230560.0,12403300.0,1905430.0,8171800.0,6590600.0,55000.0,,5779.5,1168.6,2050.6,1081.2,1947.9,1136.4,1100.0,,,,,,,,,,,,,,
59680162B10854216301983,NGA,Ndokwa East,ADM2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.134,8.457,2585.734,2.653,9.009,190671878,2.536,44.321,55.733,20.632,40.074,73.925,1527.1,97.74,39.633,2099.33,2.19,1.938,,0.758,LM,False,140681.801,0.394,-0.043,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,55,,,,3.466,general,0,0.554,0.401,0.28,0.909,2,83.25,7,0,5,4,3,4,S,167973,51353,2172532,0,0,2096000,737000,,100000,27.111,1.191,2,0.0,0.427,0,,,,,,,45.842,62.166,3.847,2015,1,1,1,1,1956,0,0,0,0,0,0,26069496.24,11829227.15,1423916.73,513116.43,2371231.71,109883348.17,16409120.56,17070713,1527.1,,57405060.0,3467446.0,9540190.0,1807810.0,7573400.0,7005025.0,60000.0,,7265.9,1237.6,1718.8,1037.3,2074.2,1187.5,1000.0,,,,,,,,,,,,,,
59680162B10854216301983,NGA,Ndokwa East,ADM2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714,10.842,2228.686,-6.369,13.246,213996181,2.13,42.826,59.766,28.345,38.825,75.419,1619.9,112.64,40.484,2068.922,,,,,LM,False,140681.801,0.394,0.074,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,60,,,6.513,2.393,general,0,0.512,0.349,0.255,0.927,2,75.455,,,4,4,3,4,S,352960,73233,2610278,12335,0,2730000,169000,143000,279000,27.33,1.919,2,0.308,0.427,1,,,,,,,45.842,62.166,3.847,2015,1,1,1,1,1956,0,0,0,0,0,0,29211452.39,14412054.09,1591763.08,519811.34,4200924.41,125089054.02,15725045.61,18032487,1619.9,,55565610.0,4230560.0,12403300.0,1905430.0,8171800.0,6590600.0,55000.0,,5779.5,1168.6,2050.6,1081.2,1947.9,1136.4,1100.0,,,,,,,,,,,,,,
59680162B11018926765325,NGA,Oluyole,ADM2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.134,8.457,2585.734,2.653,9.009,190671878,2.536,44.321,55.733,20.632,40.074,73.925,1527.1,97.74,39.633,1300.375,2.576,2.201,,,LM,False,10888.3,0.332,0.007,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,55,,,,3.466,general,0,0.554,0.401,0.28,0.909,2,83.25,7,0,5,4,3,4,S,167973,51353,2172532,0,0,2096000,737000,,100000,27.658,1.126,1,0.0,0.0,0,,,,,,,17.074,23.607,2.894,2015,0,0,0,0,,0,0,0,0,0,0,26069496.24,11829227.15,1423916.73,513116.43,2371231.71,109883348.17,16409120.56,17070713,1527.1,,57405060.0,3467446.0,9540190.0,1807810.0,7573400.0,7005025.0,60000.0,,7265.9,1237.6,1718.8,1037.3,2074.2,1187.5,1000.0,,,,,,,,,,,,,,
59680162B11018926765325,NGA,Oluyole,ADM2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,5.714,10.842,2228.686,-6.369,13.246,213996181,2.13,42.826,59.766,28.345,38.825,75.419,1619.9,112.64,40.484,1211.194,,,,,LM,False,10888.3,0.332,0.037,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,60,,,6.513,2.393,general,0,0.512,0.349,0.255,0.927,2,75.455,,,4,4,3,4,S,352960,73233,2610278,12335,0,2730000,169000,143000,279000,27.933,1.895,1,0.0,0.0,0,,,,,,,17.074,23.607,2.894,2015,0,0,0,0,,0,0,0,0,0,0,29211452.39,14412054.09,1591763.08,519811.34,4200924.41,125089054.02,15725045.61,18032487,1619.9,,55565610.0,4230560.0,12403300.0,1905430.0,8171800.0,6590600.0,55000.0,,5779.5,1168.6,2050.6,1081.2,1947.9,1136.4,1100.0,,,,,,,,,,,,,,
59680162B11133908611483,NGA,Nwangele,ADM2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.134,8.457,2585.734,2.653,9.009,190671878,2.536,44.321,55.733,20.632,40.074,73.925,1527.1,97.74,39.633,2100.159,1.925,1.536,,0.664,LM,False,13425.0,0.129,-0.001,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,55,,,,3.466,general,0,0.554,0.401,0.28,0.909,2,83.25,7,0,5,4,3,4,S,167973,51353,2172532,0,0,2096000,737000,,100000,26.925,1.297,1,0.0,0.0,0,,,,,,,0.505,0.02,0.409,2015,1,1,1,1,1956,0,0,0,0,0,0,26069496.24,11829227.15,1423916.73,513116.43,2371231.71,109883348.17,16409120.56,17070713,1527.1,,57405060.0,3467446.0,9540190.0,1807810.0,7573400.0,7005025.0,60000.0,,7265.9,1237.6,1718.8,1037.3,2074.2,1187.5,1000.0,,,,,,,,,,,,,,
59680162B11133908611483,NGA,Nwangele,ADM2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714,10.842,2228.686,-6.369,13.246,213996181,2.13,42.826,59.766,28.345,38.825,75.419,1619.9,112.64,40.484,2005.963,,,,,LM,False,13425.0,0.129,0.011,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,60,,,6.513,2.393,general,0,0.512,0.349,0.255,0.927,2,75.455,,,4,4,3,4,S,352960,73233,2610278,12335,0,2730000,169000,143000,279000,27.025,1.652,1,0.0,0.0,0,,,,,,,0.505,0.02,0.409,2015,1,1,1,1,1956,0,0,0,0,0,0,29211452.39,14412054.09,1591763.08,519811.34,4200924.41,125089054.02,15725045.61,18032487,1619.9,,55565610.0,4230560.0,12403300.0,1905430.0,8171800.0,6590600.0,55000.0,,5779.5,1168.6,2050.6,1081.2,1947.9,1136.4,1100.0,,,,,,,,,,,,,,
59680162B11164722545286,NGA,Mubi South,ADM2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.134,8.457,2585.734,2.653,9.009,190671878,2.536,44.321,55.733,20.632,40.074,73.925,1527.1,97.74,39.633,1058.707,1.356,2.524,,1.177,LM,False,4173.4,0.408,-0.005,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,55,,,,3.466,general,0,0.554,0.401,0.28,0.909,2,83.25,7,0,5,4,3,4,S,167973,51353,2172532,0,0,2096000,737000,,100000,26.85,0.175,1,0.0,0.0,0,3,3,5,0.547,1,1,15.798,18.662,2.821,2015,0,0,0,0,,0,0,0,0,0,0,26069496.24,11829227.15,1423916.73,513116.43,2371231.71,109883348.17,16409120.56,17070713,1527.1,,57405060.0,3467446.0,9540190.0,1807810.0,7573400.0,7005025.0,60000.0,,7265.9,1237.6,1718.8,1037.3,2074.2,1187.5,1000.0,,,,,,,,,,,,,,
59680162B11164722545286,NGA,Mubi South,ADM2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5.714,10.842,2228.686,-6.369,13.246,213996181,2.13,42.826,59.766,28.345,38.825,75.419,1619.9,112.64,40.484,1102.849,,,,,LM,False,4173.4,0.408,0.05,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,60,,,6.513,2.393,general,0,0.512,0.349,0.255,0.927,2,75.455,,,4,4,3,4,S,352960,73233,2610278,12335,0,2730000,169000,143000,279000,26.783,0.02,1,0.0,0.0,0,,,,,,,15.798,18.662,2.821,2015,0,0,0,0,,0,0,0,0,0,0,29211452.39,14412054.09,1591763.08,519811.34,4200924.41,125089054.02,15725045.61,18032487,1619.9,,55565610.0,4230560.0,12403300.0,1905430.0,8171800.0,6590600.0,55000.0,,5779.5,1168.6,2050.6,1081.2,1947.9,1136.4,1100.0,,,,,,,,,,,,,,
59680162B11241948791785,NGA,Afijio,ADM2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,4.134,8.457,2585.734,2.653,9.009,190671878,2.536,44.321,55.733,20.632,40.074,73.925,1527.1,97.74,39.633,1138.547,2.526,2.043,,,LM,False,61952.4,0.383,-0.014,Africa,Africa,British,British,1,1,1874,1960,86,1960,English,English,0,common,1,0,0,55,,,,3.466,general,0,0.554,0.401,0.28,0.909,2,83.25,7,0,5,4,3,4,S,167973,51353,2172532,0,0,2096000,737000,,100000,27.335,1.33,1,0.0,0.0,0,,,,,,,21.995,26.195,3.135,2015,0,0,0,0,,0,0,0,0,0,0,26069496.24,11829227.15,1423916.73,513116.43,2371231.71,109883348.17,16409120.56,17070713,1527.1,,57405060.0,3467446.0,9540190.0,1807810.0,7573400.0,7005025.0,60000.0,,7265.9,1237.6,1718.8,1037.3,2074.2,1187.5,1000.0,,,,,,,,,,,,,,
